"Prey","FOi"
"Insect Remains",0.45076145224375
"Filamentous Algae",0.347277046784583
"Chironomidae (L)",0.238636086742917
"Formicidae",0.198656798247083
"Cladocera",0.158424707602083
"Ostracoda",0.144362207603333
"Baetidae",0.103685428852083
"Organic matter",0.0993786549729167
"Ephemeroptera",0.098684210525
"Plant Matter",0.0473135964895833
"Chironomidae(pupa)",0.0472222222220833
"Chaoboridae",0.0433327241708333
"Sediments",0.04060672514625
"Colembola",0.0399244639379167
"Vespidae",0.0393518518525
"Hydracarina",0.0353801169595833
"Shrimp (L)",0.0344907407416667
"Aranae",0.0324652777775
"Psocoptera",0.0305555555541667
"Invertebrate eggs",0.0299189814816667
"Coleoptera",0.02609344541875
"Hydropsychidae",0.0256944444441667
"Hemiptera",0.0226851851845833
"Elmidae",0.02013888888875
"Leptohyphes",0.01747076023375
"Hymenoptera",0.0172392787520833
"Diptera (pupa)",0.01700779727125
"Thysanura",0.0155092592583333
"Leptophlebiidae",0.014814814815
"Amphipoda",0.0131944444458333
"Noteridae",0.0125
"Trichoptera (L)",0.0113425925916667
"Staphynilidae",0.0111111111108333
"Scales",0.0110471491229167
"Leptoceridae",0.0110471491229167
"Copepoda",0.0108796296291667
"Pyralidae",0.0106481481483333
"Dytiscidae",0.0104166666666667
"Gerrridae",0.00879629629666667
"Pseudoscorpionida",0.00879629629583333
"Orthoptera",0.00833333333333333
"Acari",0.00688048245625
"Odonata (N)",0.0067129629625
"Diptera (adult)",0.00659113060458333
"Philopotamidae",0.00646929824583333
"Pleidae",0.00635964912291667
"Naucoridae",0.0046875
"Simullidae",0.00462962962916667
"Vellidae",0.00462962962916667
"Ceratopogonidae",0.00439814814833333
"Caenidae",0.00416666666666667
"Calamoceratidae...19",0.00416666666666667
"Psychodidae",0.00416666666666667
"Trichoptera",0.00416666666666667
"Helicopsychidae",0.002314814815
"Libellulidae",0.002314814815
"Tingidae",0.002314814815
"Calamoceratidae...9",0.00208333333333333
"Coleoptera (larva)",0.00208333333333333
"Corixidae",0.00208333333333333
"Empididae",0.00208333333333333
"Isoptera",0.00208333333333333
"Lampyridae",0.00208333333333333
"Plecoptera",0.00208333333333333
"Seeds and Fruits",0.00208333333333333
