,Location_Month,Aquatic_Biomass,Terrestrial_Biomass,Main_Source_by_biome,BIOME,Season,ratio,Main_source_by_season,Specie_richness,Month,Precipitation
1,CJ,58.1,0,Aquatic,CAATINGA,Rainy,Inf,Aquatic,14,January,44.26
2,CA,20.5,0.2,Aquatic,CAATINGA,Rainy,102.5,Aquatic,17,April,21.39
3,CJL,10.3,49.3,Terrestrial,CAATINGA,Dry,0.208924949,Aquatic,18,July,43.82
4,CO,49.9,0.1,Aquatic,CAATINGA,Dry,499,Aquatic,12,October,1.022
5,IJ,49.3,2.1,Aquatic,CAATINGA,Rainy,23.47619048,Aquatic,17,January,44.26
6,IA,60.8,3,Aquatic,CAATINGA,Rainy,20.26666667,Aquatic,9,April,21.39
7,IJL,24.9,6.1,Aquatic,CAATINGA,Dry,4.081967213,Aquatic,16,July,43.82
8,IO,30.5,1.1,Aquatic,CAATINGA,Dry,27.72727273,Aquatic,8,October,1.022
9,NJ,35.8,3.3,Aquatic,CAATINGA,Rainy,10.84848485,Aquatic,12,January,44.26
10,NAPRIL,36.6,3.7,Aquatic,CAATINGA,Rainy,9.891891892,Aquatic,12,April,21.39
11,NJL,21.9,1.2,Aquatic,CAATINGA,Dry,18.25,Aquatic,17,July,43.82
12,NO,33.1,2.1,Aquatic,CAATINGA,Dry,15.76190476,Aquatic,13,October,1.022
13,UJ,35.6,64.2,Terrestrial,CAATINGA,Rainy,0.554517134,Aquatic,29,January,44.26
14,UJL,9.5,1.8,Aquatic,CAATINGA,Rainy,5.277777778,Aquatic,13,April,43.82
15,UO,4.9,1.2,Aquatic,CAATINGA,Dry,4.083333333,Aquatic,11,October,1.022
16,AJ,37.5,31.2,Aquatic,ATLANTIC,Dry,1.201923077,Aquatic,21,January,7.05
17,AA,9.5,323.9,Terrestrial,ATLANTIC,Rainy,0.02933004,Terrestial,16,April,25.65
18,AJL,25.3,4.2,Aquatic,ATLANTIC,Rainy,6.023809524,Terrestial,18,July,174.25
19,GA,43.8,1.8,Aquatic,ATLANTIC,Rainy,24.33333333,Terrestial,19,April,25.65
20,GJL,52.8,71.2,Terrestrial,ATLANTIC,Rainy,0.741573034,Terrestial,33,July,174.25
21,GO,25.4,2.2,Aquatic,ATLANTIC,Dry,11.54545455,Aquatic,11,October,14.29
22,PJ,28,1.7,Aquatic,ATLANTIC,Dry,16.47058824,Aquatic,18,January,7.05
23,PA,24.8,5.6,Aquatic,ATLANTIC,Rainy,4.428571429,Terrestial,13,April,25.65
24,PJL,1.6,86.1,Terrestrial,ATLANTIC,Rainy,0.018583043,Terrestial,9,July,174.25
